130378,128321,127135,126968,125960,125960,125960,125960,126537,130172,
130386,128341,127114,126968,126058,126058,126058,126058,126586,129764,
130477,128408,127192,126997,126042,126042,126042,126042,126737,130012,
130472,128483,127274,127091,126131,126131,126131,126131,126748,130024,
130451,128424,127191,127001,126028,126028,126028,126028,126679,129853,
130555,128508,127321,127164,126221,126221,126221,126221,126840,129947,
130516,128492,127301,127119,126278,126278,126278,126278,126986,130226,
130475,128472,127292,127142,126187,126187,126187,126187,126897,130356,
130606,128589,127386,127229,126359,126359,126359,126359,127013,130292,
130482,128421,127170,126989,125983,125983,125983,125983,126533,129662,
130455,128409,127199,127020,126184,126184,126184,126184,126888,130207,
130377,128324,127109,126992,125959,125959,125959,125959,126674,129719,
130376,128374,127189,127047,126239,126239,126239,126239,126843,130286,
130395,128329,127082,126898,125934,125934,125934,125934,126538,129776,
130396,128341,127174,127006,125958,125958,125958,125958,126597,130023,
130518,128501,127298,127132,126284,126284,126284,126284,127016,130225,
130464,128357,127175,127004,126122,126122,126122,126122,126797,130019,
130531,128435,127207,127048,126134,126134,126134,126134,126766,130084,
130416,128322,127110,126939,126033,126033,126033,126033,126688,130173,
130419,128365,127158,127032,126136,126136,126136,126136,126878,130160,
130449,128393,127168,127038,126157,126157,126157,126157,126703,129935,
130463,128469,127306,127153,126212,126212,126212,126212,126874,130203,
130478,128378,127192,127025,126111,126111,126111,126111,126749,130010,
130477,128440,127221,127086,126226,126226,126226,126226,126837,130003,
130423,128401,127184,127049,126187,126187,126187,126187,126861,130308,
130398,128297,127106,126961,126036,126036,126036,126036,126702,130015,
130505,128427,127245,127076,126163,126163,126163,126163,126815,130348,
130488,128468,127302,127109,126207,126207,126207,126207,126837,130034,
130450,128437,127241,127075,126116,126116,126116,126116,126806,130226,
130447,128364,127156,127000,126161,126161,126161,126161,126773,130142,
130525,128465,127296,127154,126340,126340,126340,126340,126959,130236,
130497,128472,127291,127087,126260,126260,126260,126260,126877,130074,
130533,128457,127248,127117,126115,126115,126115,126115,126721,130001,
130455,128407,127224,127065,126082,126082,126082,126082,126769,130102,
130465,128405,127190,127064,126044,126044,126044,126044,126567,129891,
130408,128328,127129,126951,126119,126119,126119,126119,126793,130007,
130298,128297,127099,126963,126014,126014,126014,126014,126693,129836,
130523,128437,127226,127078,126115,126115,126115,126115,126717,130043,
130386,128345,127119,126913,125985,125985,125985,125985,126542,129822,
130454,128366,127201,127014,126133,126133,126133,126133,126701,130119,
130408,128356,127163,127000,126168,126168,126168,126168,126858,130191,
130446,128337,127135,126964,126117,126117,126117,126117,126725,130235,
130391,128339,127157,127003,126082,126082,126082,126082,126754,130338,
130372,128343,127142,126977,126019,126019,126019,126019,126530,129925,
130533,128485,127267,127075,126199,126199,126199,126199,126887,130171,
130337,128299,127071,126881,125997,125997,125997,125997,126696,129966,
130502,128476,127268,127109,126114,126114,126114,126114,126825,130272,
130393,128331,127124,126956,125953,125953,125953,125953,126637,130021,
130406,128364,127145,127015,126091,126091,126091,126091,126689,129851,
130476,128392,127201,127044,126046,126046,126046,126046,126717,129924,
130408,128393,127230,127066,126122,126122,126122,126122,126794,129730,
130355,128353,127142,126969,126075,126075,126075,126075,126739,130018,
130500,128456,127237,127076,126089,126089,126089,126089,126797,130368,
130478,128398,127200,127034,126140,126140,126140,126140,126724,129995,
130465,128411,127195,127034,126130,126130,126130,126130,126735,129861,
130418,128366,127162,127005,126010,126010,126010,126010,126625,129968,
130472,128402,127176,127042,126114,126114,126114,126114,126760,130246,
130512,128511,127299,127148,126271,126271,126271,126271,126946,130241,
130435,128413,127222,127085,126137,126137,126137,126137,126708,130041,
130444,128401,127210,127063,126272,126272,126272,126272,126950,130265,
130427,128417,127192,127023,126207,126207,126207,126207,126882,130216,
130531,128453,127290,127132,126281,126281,126281,126281,126919,130210,
130413,128343,127126,126958,126047,126047,126047,126047,126720,129971,
130413,128380,127165,126995,126099,126099,126099,126099,126688,129924,
130354,128336,127098,126922,126074,126074,126074,126074,126767,130105,
130431,128363,127157,127011,126228,126228,126228,126228,126935,130254,
130487,128485,127274,127127,126204,126204,126204,126204,126746,129987,
130364,128280,127083,126921,126009,126009,126009,126009,126572,129884,
130341,128297,127103,126932,125890,125890,125890,125890,126578,130051,
130544,128492,127303,127139,126212,126212,126212,126212,126738,129939,
130386,128340,127127,126975,125958,125958,125958,125958,126601,129972,
130465,128420,127208,127070,126049,126049,126049,126049,126644,129776,
130382,128311,127124,126931,126120,126120,126120,126120,126748,130185,
130398,128341,127145,126970,126115,126115,126115,126115,126826,130046,
130554,128485,127262,127099,126279,126279,126279,126279,126849,130190,
130470,128431,127223,127048,126009,126009,126009,126009,126715,130207,
130361,128341,127099,126936,126068,126068,126068,126068,126651,130034,
130379,128301,127083,126929,125973,125973,125973,125973,126536,129874,
130495,128444,127246,127127,126141,126141,126141,126141,126805,130114,
130432,128407,127200,127017,126021,126021,126021,126021,126658,129693,
130383,128358,127160,126987,126057,126057,126057,126057,126694,129810,
130428,128360,127140,126986,126001,126001,126001,126001,126622,130164,
130445,128400,127179,126996,126061,126061,126061,126061,126682,130104,
130365,128301,127098,126970,126012,126012,126012,126012,126797,129900,
130448,128382,127210,127030,126186,126186,126186,126186,126776,130064,
130412,128375,127182,126990,126043,126043,126043,126043,126789,130019,
130458,128459,127265,127115,126110,126110,126110,126110,126710,130143,
130451,128411,127217,127065,126160,126160,126160,126160,126816,130182,
130599,128522,127310,127165,126233,126233,126233,126233,126882,130077,
130439,128405,127188,127027,126076,126076,126076,126076,126776,130089,
130477,128368,127165,126959,126068,126068,126068,126068,126607,130122,
130548,128521,127314,127174,126305,126305,126305,126305,126978,129878,
130479,128417,127216,127051,126149,126149,126149,126149,126777,130128,
130302,128192,126947,126771,125780,125780,125780,125780,126367,129829,
130505,128518,127305,127155,126197,126197,126197,126197,126841,130051,
130562,128482,127280,127107,126154,126154,126154,126154,126780,129981,
130446,128401,127220,127068,126177,126177,126177,126177,126706,129897,
130414,128311,127099,126925,125838,125838,125838,125838,126518,129728,
130424,128349,127123,126972,126010,126010,126010,126010,126729,129929,
130475,128426,127211,127029,126076,126076,126076,126076,126783,130125,
